player_name,position,age,yoe,prev_team,prev_aav_usd,market_value_aav_usd,contract_type
Trevon Diggs,CB,28.3,5,GB,19400000,7536772,UFA
Jamel Dean,CB,29.2,6,TB,13000000,12468672,UFA
Jimmie Ward,CB,34.5,11,HOU,10508000,,UFA
Jonathan Jones,CB,32.3,9,WAS,5500000,5071032,UFA
Amik Robertson,CB,27.5,5,DET,4625000,3940390,UFA
Eric Stokes,CB,26.8,4,LV,3500000,7368096,UFA
Kader Kohou,CB,27.1,3,MIA,3263000,2047307,UFA
Greg Newsome,CB,25.7,4,JAX,3187184,9020706,UFA
Ifeatu Melifonwu,CB,26.7,4,MIA,3010000,3660364,UFA
TreDavious White,CB,31.0,8,BUF,3000000,1203422,UFA
Benjamin St-Juste,CB,28.3,4,LAC,2500000,,UFA
Jeff Okudah,CB,26.9,5,MIN,2350000,,UFA
Roger McCreary,CB,25.9,3,LAR,2291402,12155481,UFA
Jason Pinnock,CB,26.5,4,SF,2200000,,UFA
Josh Jobe,CB,27.8,3,SEA,2000000,,UFA
Nazeeh Johnson,CB,27.5,3,KC,1900000,,UFA
Alontae Taylor,CB,27.1,3,NO,1801175,11166006,UFA
Adoree' Jackson,CB,30.3,8,PHI,1755000,,UFA
Kris Boyd,CB,29.3,6,NYJ,1600000,,UFA
Rasul Douglas,CB,31.3,9,MIA,1572500,4018154,UFA
Cam Lewis,CB,28.8,5,BUF,1550000,1506691,UFA
Marco Wilson,CB,26.8,4,CIN,1520000,,UFA
Dee Alford,CB,28.2,3,ATL,1500000,5896757,UFA
Noah Igbinoghene,CB,26.1,5,WAS,1500000,,UFA
