player_name,position,age,yoe,prev_team,prev_aav_usd,market_value_aav_usd,contract_type
Bobby Wagner,LB,35.5,13,WAS,9000000,7684822,UFA
Lavonte David,LB,36.0,13,TB,9000000,7430840,UFA
Demario Davis,LB,37.0,13,NO,8625000,9478723,UFA
Kenneth Murray,LB,27.2,5,DAL,7750000,4922042,UFA
Kaden Elliss,LB,30.5,6,ATL,7166667,8989843,UFA
Matt Milano,LB,30.8,8,BUF,6306500,4598821,UFA
Alex Anzalone,LB,31.3,8,DET,6250000,7263314,UFA
Von Miller,LB,36.8,14,WAS,6100000,5842864,UFA
Cole Holcomb,LB,29.4,5,PIT,6000000,2674013,UFA
Quincy Williams,LB,29.3,6,NYJ,6000000,9196852,UFA
Alex Singleton,LB,32.1,6,DEN,6000000,4663788,UFA
E.J. Speed,LB,30.6,6,HOU,3500000,4761657,UFA
Quay Walker,LB,25.7,3,GB,3460410,9674871,UFA
Jadeveon Clowney,LB,32.9,11,DAL,3450000,5711599,UFA
Devin Bush,LB,27.5,6,CLE,3250000,8899904,UFA
Devin Lloyd,LB,27.2,3,JAX,3234151,20144133,UFA
Elandon Roberts,LB,31.8,9,LV,3010000,4213132,UFA
Justin Strnad,LB,29.4,5,DEN,2787500,3819398,UFA
Denzel Perryman,LB,33.1,10,LAC,2655000,,UFA
Eric Wilson,LB,31.2,8,MIN,2600000,4326794,UFA
Jake Martin,LB,30.1,7,WAS,2585000,2776109,UFA
Christian Rozeboom,LB,28.9,5,CAR,2500000,3046794,UFA
Jack Cochrane,LB,26.9,3,KC,2100000,,UFA
Dennis Gardeck,LB,31.4,7,JAX,2000000,,UFA
